,Agency Name,Employee Last Name,Employee First Name,Participant Last Name,Participant First Name,Participant Timezone,Scheduled Visit Start,Scheduled Visit End,Actual Visit Start,Actual Visit End,Notes,Status ,SVS,SVE,DayOftheWeek,WeekOfyear,Day,Month,Year,hourDigit,SchedMin,AcctMIn,StartDif,EndDif,HoursDif,Untis,Difference,Code,Timelaps,Split,split_csum,Count,Grouping,MaxSVS,MinSVS,StartDate,EndDate
63,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-24 17:00:00,2021-12-24 21:00:00,2021-12-24 16:50:31,2021-12-25 06:11:32,,Complete Real Time,2021-12-24 17:00:00,2021-12-24 21:00:00,4,51,24,12,2021,17,240.0,801.0166666666667,-9.483333333333333,551.5333333333333,9.350277777777778,16.0,561.0166666666667,17_John_Smith,1,0,2,1,12_51_2,24,20,12/20/2021,12/24/2021
67,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-28 17:00:00,2021-12-28 21:00:00,2021-12-28 16:50:29,2021-12-29 04:46:26,,Complete Real Time,2021-12-28 17:00:00,2021-12-28 21:00:00,1,52,28,12,2021,17,240.0,715.95,-9.516666666666667,466.43333333333334,7.932500000000001,16.0,475.95000000000005,17_John_Smith,4,1,2,1,12_52_2,31,28,12/28/2021,12/31/2021
69,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-29 17:00:00,2021-12-29 21:00:00,2021-12-29 16:50:31,2021-12-30 04:43:03,,Complete Real Time,2021-12-29 17:00:00,2021-12-29 21:00:00,2,52,29,12,2021,17,240.0,712.5333333333333,-9.483333333333333,463.05,7.875555555555555,16.0,472.5333333333333,17_John_Smith,1,0,2,1,12_52_2,31,28,12/28/2021,12/31/2021
71,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-30 17:00:00,2021-12-30 21:00:00,2021-12-30 16:50:20,2021-12-30 21:00:26,,Complete Real Time,2021-12-30 17:00:00,2021-12-30 21:00:00,3,52,30,12,2021,17,240.0,250.1,-9.666666666666666,0.43333333333333335,0.16833333333333325,16.0,10.099999999999994,17_John_Smith,1,0,2,1,12_52_2,31,28,12/28/2021,12/31/2021
73,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-31 17:00:00,2021-12-31 21:00:00,2021-12-31 16:50:14,2022-01-01 06:03:04,,Complete Real Time,2021-12-31 17:00:00,2021-12-31 21:00:00,4,52,31,12,2021,17,240.0,792.8333333333334,-9.766666666666667,543.0666666666667,9.21388888888889,16.0,552.8333333333334,17_John_Smith,1,0,2,1,12_52_2,31,28,12/28/2021,12/31/2021
78,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-03 17:00:00,2022-01-03 21:00:00,2022-01-03 16:50:18,2022-01-03 21:00:13,,Complete Real Time,2022-01-03 17:00:00,2022-01-03 21:00:00,0,1,3,1,2022,17,240.0,249.91666666666666,-9.7,0.21666666666666667,0.1652777777777776,16.0,9.916666666666657,17_John_Smith,3,1,2,1,1_1_2,7,3,1/3/2022,1/7/2022
80,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-04 17:00:00,2022-01-04 21:00:00,2022-01-04 16:59:40,2022-01-05 05:01:28,,Complete Real Time,2022-01-04 17:00:00,2022-01-04 21:00:00,1,1,4,1,2022,17,240.0,721.8,-0.3333333333333333,481.46666666666664,8.03,16.0,481.79999999999995,17_John_Smith,1,0,2,1,1_1_2,7,3,1/3/2022,1/7/2022
82,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-05 17:00:00,2022-01-05 21:00:00,2022-01-05 16:50:40,2022-01-06 04:58:21,,Complete Real Time,2022-01-05 17:00:00,2022-01-05 21:00:00,2,1,5,1,2022,17,240.0,727.6833333333333,-9.333333333333334,478.35,8.128055555555555,16.0,487.6833333333333,17_John_Smith,1,0,2,1,1_1_2,7,3,1/3/2022,1/7/2022
84,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-06 17:00:00,2022-01-06 21:00:00,2022-01-06 16:51:10,2022-01-06 20:56:11,,Complete Real Time,2022-01-06 17:00:00,2022-01-06 21:00:00,3,1,6,1,2022,17,240.0,245.01666666666668,-8.833333333333334,-3.816666666666667,0.08361111111111133,16.0,5.01666666666668,17_John_Smith,1,0,2,1,1_1_2,7,3,1/3/2022,1/7/2022
86,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-07 17:00:00,2022-01-07 21:00:00,2022-01-07 17:00:00,2022-01-07 21:00:00,,Completed Manually,2022-01-07 17:00:00,2022-01-07 21:00:00,4,1,7,1,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,1_1_2,7,3,1/3/2022,1/7/2022
91,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-10 17:00:00,2022-01-10 21:00:00,2022-01-10 17:00:00,2022-01-10 21:00:00,,Completed Manually,2022-01-10 17:00:00,2022-01-10 21:00:00,0,2,10,1,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,1,1,1_2_1,14,10,1/10/2022,1/14/2022
93,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-11 17:00:00,2022-01-11 21:00:00,2022-01-11 17:01:26,2022-01-11 21:00:12,,Complete Real Time,2022-01-11 17:00:00,2022-01-11 21:00:00,1,2,11,1,2022,17,240.0,238.76666666666668,1.4333333333333333,0.2,-0.020555555555555334,16.0,-1.23333333333332,17_John_Smith,1,0,1,1,1_2_1,14,10,1/10/2022,1/14/2022
95,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-12 17:00:00,2022-01-12 21:00:00,2022-01-12 16:51:08,2022-01-13 05:00:33,,Complete Real Time,2022-01-12 17:00:00,2022-01-12 21:00:00,2,2,12,1,2022,17,240.0,729.4166666666666,-8.866666666666667,480.55,8.156944444444443,16.0,489.41666666666663,17_John_Smith,1,0,1,1,1_2_1,14,10,1/10/2022,1/14/2022
97,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-13 17:00:00,2022-01-13 21:00:00,2022-01-13 16:53:31,2022-01-14 05:00:32,,Complete Real Time,2022-01-13 17:00:00,2022-01-13 21:00:00,3,2,13,1,2022,17,240.0,727.0166666666667,-6.483333333333333,480.53333333333336,8.116944444444444,16.0,487.01666666666665,17_John_Smith,1,0,1,1,1_2_1,14,10,1/10/2022,1/14/2022
99,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-14 17:00:00,2022-01-14 21:00:00,2022-01-14 17:00:00,2022-01-14 21:00:00,,Completed Manually,2022-01-14 17:00:00,2022-01-14 21:00:00,4,2,14,1,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,1,1,1_2_1,14,10,1/10/2022,1/14/2022
100,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-17 17:00:00,2022-01-17 21:00:00,2022-01-17 17:00:00,2022-01-17 21:00:00,,Completed Manually,2022-01-17 17:00:00,2022-01-17 21:00:00,0,3,17,1,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,1_3_2,21,17,1/17/2022,1/21/2022
102,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-18 17:00:00,2022-01-18 21:00:00,2022-01-18 16:50:45,2022-01-18 20:58:01,,Complete Real Time,2022-01-18 17:00:00,2022-01-18 21:00:00,1,3,18,1,2022,17,240.0,247.26666666666668,-9.25,-1.9833333333333334,0.12111111111111134,16.0,7.26666666666668,17_John_Smith,1,0,2,1,1_3_2,21,17,1/17/2022,1/21/2022
104,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-19 17:00:00,2022-01-19 21:00:00,2022-01-19 16:51:09,2022-01-20 05:00:44,,Complete Real Time,2022-01-19 17:00:00,2022-01-19 21:00:00,2,3,19,1,2022,17,240.0,729.5833333333334,-8.85,480.73333333333335,8.159722222222223,16.0,489.58333333333337,17_John_Smith,1,0,2,1,1_3_2,21,17,1/17/2022,1/21/2022
106,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-20 17:00:00,2022-01-20 21:00:00,2022-01-20 16:50:15,2022-01-21 05:01:46,,Complete Real Time,2022-01-20 17:00:00,2022-01-20 21:00:00,3,3,20,1,2022,17,240.0,731.5166666666667,-9.75,481.76666666666665,8.191944444444443,16.0,491.51666666666665,17_John_Smith,1,0,2,1,1_3_2,21,17,1/17/2022,1/21/2022
108,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-21 17:00:00,2022-01-21 21:00:00,2022-01-21 16:50:42,2022-01-22 08:01:39,,Complete Real Time,2022-01-21 17:00:00,2022-01-21 21:00:00,4,3,21,1,2022,17,240.0,910.95,-9.3,661.65,11.182500000000001,16.0,670.95,17_John_Smith,1,0,2,1,1_3_2,21,17,1/17/2022,1/21/2022
114,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-24 17:00:00,2022-01-24 21:00:00,2022-01-24 17:00:00,2022-01-24 21:00:00,,Completed Manually,2022-01-24 17:00:00,2022-01-24 21:00:00,0,4,24,1,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,1_4_2,28,24,1/24/2022,1/28/2022
116,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-25 17:00:00,2022-01-25 21:00:00,2022-01-25 16:51:17,2022-01-26 05:01:09,,Complete Real Time,2022-01-25 17:00:00,2022-01-25 21:00:00,1,4,25,1,2022,17,240.0,729.8666666666667,-8.716666666666667,481.15,8.164444444444445,16.0,489.8666666666667,17_John_Smith,1,0,2,1,1_4_2,28,24,1/24/2022,1/28/2022
118,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-26 17:00:00,2022-01-26 21:00:00,2022-01-26 16:50:38,2022-01-27 05:00:30,,Complete Real Time,2022-01-26 17:00:00,2022-01-26 21:00:00,2,4,26,1,2022,17,240.0,729.8666666666667,-9.366666666666667,480.5,8.164444444444445,16.0,489.8666666666667,17_John_Smith,1,0,2,1,1_4_2,28,24,1/24/2022,1/28/2022
120,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-27 17:00:00,2022-01-27 21:00:00,2022-01-27 16:51:31,2022-01-28 05:00:28,,Complete Real Time,2022-01-27 17:00:00,2022-01-27 21:00:00,3,4,27,1,2022,17,240.0,728.95,-8.483333333333333,480.46666666666664,8.149166666666668,16.0,488.95000000000005,17_John_Smith,1,0,2,1,1_4_2,28,24,1/24/2022,1/28/2022
121,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-28 17:00:00,2022-01-28 21:00:00,2022-01-28 16:50:13,2022-01-29 08:00:30,,Complete Real Time,2022-01-28 17:00:00,2022-01-28 21:00:00,4,4,28,1,2022,17,240.0,910.2833333333333,-9.783333333333333,660.5,11.171388888888888,16.0,670.2833333333333,17_John_Smith,1,0,2,1,1_4_2,28,24,1/24/2022,1/28/2022
127,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-31 17:00:00,2022-01-31 21:00:00,2022-01-31 17:00:00,2022-01-31 21:00:00,,Completed Manually,2022-01-31 17:00:00,2022-01-31 21:00:00,0,5,31,1,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,1_5_2,31,31,1/31/2022,1/31/2022
128,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-01 17:00:00,2022-02-01 21:00:00,2022-02-01 17:00:33,2022-02-02 05:00:41,,Complete Real Time,2022-02-01 17:00:00,2022-02-01 21:00:00,1,5,1,2,2022,17,240.0,720.1333333333333,0.55,480.68333333333334,8.002222222222223,16.0,480.1333333333333,17_John_Smith,1,0,2,1,2_5_2,4,1,2/1/2022,2/4/2022
130,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-02 17:00:00,2022-02-02 21:00:00,2022-02-02 17:41:24,2022-02-02 17:41:55,,Complete Real Time,2022-02-02 17:00:00,2022-02-02 21:00:00,2,5,2,2,2022,17,240.0,0.5166666666666667,41.4,-198.08333333333334,-3.991388888888889,16.0,-239.48333333333332,17_John_Smith,1,0,2,1,2_5_2,4,1,2/1/2022,2/4/2022
132,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-03 17:00:00,2022-02-03 21:00:00,2022-02-03 17:00:00,2022-02-03 21:00:00,,Completed Manually,2022-02-03 17:00:00,2022-02-03 21:00:00,3,5,3,2,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,2_5_2,4,1,2/1/2022,2/4/2022
134,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-04 17:00:00,2022-02-04 21:00:00,2022-02-04 17:00:00,2022-02-04 21:00:00,,Completed Manually,2022-02-04 17:00:00,2022-02-04 21:00:00,4,5,4,2,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,2_5_2,4,1,2/1/2022,2/4/2022
140,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-07 17:00:00,2022-02-07 21:00:00,2022-02-07 16:50:17,2022-02-08 05:00:17,,Complete Real Time,2022-02-07 17:00:00,2022-02-07 21:00:00,0,6,7,2,2022,17,240.0,730.0,-9.716666666666667,480.28333333333336,8.166666666666666,16.0,490.0,17_John_Smith,3,1,2,1,2_6_2,11,7,2/7/2022,2/11/2022
142,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-08 17:00:00,2022-02-08 21:00:00,2022-02-08 16:51:15,2022-02-08 21:00:49,,Complete Real Time,2022-02-08 17:00:00,2022-02-08 21:00:00,1,6,8,2,2022,17,240.0,249.56666666666666,-8.75,0.8166666666666667,0.1594444444444444,16.0,9.566666666666663,17_John_Smith,1,0,2,1,2_6_2,11,7,2/7/2022,2/11/2022
144,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-09 17:00:00,2022-02-09 21:00:00,2022-02-09 17:26:44,2022-02-10 04:55:31,,Complete Real Time,2022-02-09 17:00:00,2022-02-09 21:00:00,2,6,9,2,2022,17,240.0,688.7833333333333,26.733333333333334,475.51666666666665,7.479722222222222,16.0,448.7833333333333,17_John_Smith,1,0,2,1,2_6_2,11,7,2/7/2022,2/11/2022
146,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-10 17:00:00,2022-02-10 21:00:00,2022-02-10 16:50:37,2022-02-11 02:02:13,,Complete Real Time,2022-02-10 17:00:00,2022-02-10 21:00:00,3,6,10,2,2022,17,240.0,551.6,-9.383333333333333,302.21666666666664,5.193333333333333,16.0,311.6,17_John_Smith,1,0,2,1,2_6_2,11,7,2/7/2022,2/11/2022
148,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-11 17:00:00,2022-02-11 21:00:00,2022-02-11 19:24:16,2022-02-12 07:35:34,,Complete Real Time,2022-02-11 17:00:00,2022-02-11 21:00:00,4,6,11,2,2022,17,240.0,731.3,144.26666666666668,635.5666666666667,8.188333333333333,16.0,491.29999999999995,17_John_Smith,1,0,2,1,2_6_2,11,7,2/7/2022,2/11/2022
154,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-14 17:00:00,2022-02-14 21:00:00,2022-02-14 16:50:59,2022-02-14 21:00:13,,Complete Real Time,2022-02-14 17:00:00,2022-02-14 21:00:00,0,7,14,2,2022,17,240.0,249.23333333333332,-9.016666666666667,0.21666666666666667,0.15388888888888866,16.0,9.23333333333332,17_John_Smith,3,1,2,1,2_7_2,18,14,2/14/2022,2/18/2022
156,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-15 17:00:00,2022-02-15 21:00:00,2022-02-15 16:51:58,2022-02-15 21:00:19,,Complete Real Time,2022-02-15 17:00:00,2022-02-15 21:00:00,1,7,15,2,2022,17,240.0,248.35,-8.033333333333333,0.31666666666666665,0.13916666666666658,16.0,8.349999999999994,17_John_Smith,1,0,2,1,2_7_2,18,14,2/14/2022,2/18/2022
158,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-16 17:00:00,2022-02-16 21:00:00,2022-02-16 16:50:33,2022-02-16 21:07:20,,Complete Real Time,2022-02-16 17:00:00,2022-02-16 21:00:00,2,7,16,2,2022,17,240.0,256.78333333333336,-9.45,7.333333333333333,0.27972222222222265,16.0,16.78333333333336,17_John_Smith,1,0,2,1,2_7_2,18,14,2/14/2022,2/18/2022
160,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-17 17:00:00,2022-02-17 21:00:00,2022-02-17 16:50:31,2022-02-18 03:59:05,,Complete Real Time,2022-02-17 17:00:00,2022-02-17 21:00:00,3,7,17,2,2022,17,240.0,668.5666666666667,-9.483333333333333,419.0833333333333,7.142777777777779,16.0,428.5666666666667,17_John_Smith,1,0,2,1,2_7_2,18,14,2/14/2022,2/18/2022
162,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-18 17:00:00,2022-02-18 21:00:00,2022-02-18 17:00:00,2022-02-18 21:00:00,,Completed Manually,2022-02-18 17:00:00,2022-02-18 21:00:00,4,7,18,2,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,2_7_2,18,14,2/14/2022,2/18/2022
168,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-21 17:00:00,2022-02-21 21:00:00,2022-02-21 16:50:29,2022-02-21 21:00:41,,Complete Real Time,2022-02-21 17:00:00,2022-02-21 21:00:00,0,8,21,2,2022,17,240.0,250.2,-9.516666666666667,0.6833333333333333,0.16999999999999982,16.0,10.199999999999989,17_John_Smith,3,1,2,1,2_8_2,25,21,2/21/2022,2/25/2022
170,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-22 17:00:00,2022-02-22 21:00:00,2022-02-22 16:50:41,2022-02-22 21:00:13,,Complete Real Time,2022-02-22 17:00:00,2022-02-22 21:00:00,1,8,22,2,2022,17,240.0,249.53333333333333,-9.316666666666666,0.21666666666666667,0.15888888888888886,16.0,9.533333333333331,17_John_Smith,1,0,2,1,2_8_2,25,21,2/21/2022,2/25/2022
172,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-23 17:00:00,2022-02-23 21:00:00,2022-02-23 16:51:06,2022-02-23 21:00:33,,Complete Real Time,2022-02-23 17:00:00,2022-02-23 21:00:00,2,8,23,2,2022,17,240.0,249.45,-8.9,0.55,0.1574999999999998,16.0,9.449999999999989,17_John_Smith,1,0,2,1,2_8_2,25,21,2/21/2022,2/25/2022
174,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-24 17:00:00,2022-02-24 21:00:00,2022-02-24 17:00:54,2022-02-24 21:12:18,,Complete Real Time,2022-02-24 17:00:00,2022-02-24 21:00:00,3,8,24,2,2022,17,240.0,251.4,0.9,12.3,0.19000000000000009,16.0,11.400000000000006,17_John_Smith,1,0,2,1,2_8_2,25,21,2/21/2022,2/25/2022
176,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-25 17:00:00,2022-02-25 21:00:00,2022-02-25 17:00:00,2022-02-25 21:00:00,,Completed Manually,2022-02-25 17:00:00,2022-02-25 21:00:00,4,8,25,2,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,2_8_2,25,21,2/21/2022,2/25/2022
182,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-28 17:00:00,2022-02-28 21:00:00,2022-02-28 17:00:00,2022-02-28 21:00:00,,Completed Manually,2022-02-28 17:00:00,2022-02-28 21:00:00,0,9,28,2,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,2_9_2,28,28,2/28/2022,2/28/2022
184,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-01 17:00:00,2022-03-01 21:00:00,2022-03-01 18:51:33,2022-03-02 02:16:57,,Complete Real Time,2022-03-01 17:00:00,2022-03-01 21:00:00,1,9,1,3,2022,17,240.0,445.4,111.55,316.95,3.423333333333333,16.0,205.39999999999998,17_John_Smith,1,0,2,1,3_9_2,4,1,3/1/2022,3/4/2022
186,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-02 17:00:00,2022-03-02 21:00:00,2022-03-02 20:55:18,2022-03-03 05:00:30,,Complete Real Time,2022-03-02 17:00:00,2022-03-02 21:00:00,2,9,2,3,2022,17,240.0,485.2,235.3,480.5,4.086666666666667,16.0,245.2,17_John_Smith,1,0,2,1,3_9_2,4,1,3/1/2022,3/4/2022
188,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-03 17:00:00,2022-03-03 21:00:00,2022-03-03 16:50:25,2022-03-03 21:01:04,,Complete Real Time,2022-03-03 17:00:00,2022-03-03 21:00:00,3,9,3,3,2022,17,240.0,250.65,-9.583333333333334,1.0666666666666667,0.1775000000000001,16.0,10.650000000000006,17_John_Smith,1,0,2,1,3_9_2,4,1,3/1/2022,3/4/2022
190,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-04 17:00:00,2022-03-04 21:00:00,2022-03-04 16:50:34,2022-03-04 21:00:28,,Complete Real Time,2022-03-04 17:00:00,2022-03-04 21:00:00,4,9,4,3,2022,17,240.0,249.9,-9.433333333333334,0.4666666666666667,0.1650000000000001,16.0,9.900000000000006,17_John_Smith,1,0,2,1,3_9_2,4,1,3/1/2022,3/4/2022
196,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-07 17:00:00,2022-03-07 21:00:00,2022-03-07 16:51:05,2022-03-07 21:00:12,,Complete Real Time,2022-03-07 17:00:00,2022-03-07 21:00:00,0,10,7,3,2022,17,240.0,249.11666666666667,-8.916666666666666,0.2,0.15194444444444458,16.0,9.116666666666674,17_John_Smith,3,1,2,1,3_10_2,11,7,3/7/2022,3/11/2022
198,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-08 17:00:00,2022-03-08 21:00:00,2022-03-08 16:50:49,2022-03-09 04:53:56,,Complete Real Time,2022-03-08 17:00:00,2022-03-08 21:00:00,1,10,8,3,2022,17,240.0,723.1166666666667,-9.183333333333334,473.93333333333334,8.051944444444445,16.0,483.1166666666667,17_John_Smith,1,0,2,1,3_10_2,11,7,3/7/2022,3/11/2022
200,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-09 17:00:00,2022-03-09 21:00:00,2022-03-09 17:00:00,2022-03-09 21:00:00,,Completed Manually,2022-03-09 17:00:00,2022-03-09 21:00:00,2,10,9,3,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,3_10_2,11,7,3/7/2022,3/11/2022
202,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-10 17:00:00,2022-03-10 21:00:00,2022-03-10 16:50:16,2022-03-11 04:59:38,,Complete Real Time,2022-03-10 17:00:00,2022-03-10 21:00:00,3,10,10,3,2022,17,240.0,729.3666666666667,-9.733333333333333,479.6333333333333,8.15611111111111,16.0,489.3666666666667,17_John_Smith,1,0,2,1,3_10_2,11,7,3/7/2022,3/11/2022
204,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-11 17:00:00,2022-03-11 21:00:00,2022-03-11 17:00:00,2022-03-11 21:00:00,,Completed Manually,2022-03-11 17:00:00,2022-03-11 21:00:00,4,10,11,3,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,3_10_2,11,7,3/7/2022,3/11/2022
210,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-14 17:00:00,2022-03-14 21:00:00,2022-03-14 17:00:00,2022-03-14 21:00:00,,Completed Manually,2022-03-14 17:00:00,2022-03-14 21:00:00,0,11,14,3,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,3_11_2,18,14,3/14/2022,3/18/2022
212,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-15 17:00:00,2022-03-15 21:00:00,2022-03-15 17:00:00,2022-03-15 21:00:00,,Completed Manually,2022-03-15 17:00:00,2022-03-15 21:00:00,1,11,15,3,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,3_11_2,18,14,3/14/2022,3/18/2022
214,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-16 17:00:00,2022-03-16 21:00:00,2022-03-16 16:51:19,2022-03-16 21:00:30,,Complete Real Time,2022-03-16 17:00:00,2022-03-16 21:00:00,2,11,16,3,2022,17,240.0,249.18333333333334,-8.683333333333334,0.5,0.1530555555555556,16.0,9.183333333333337,17_John_Smith,1,0,2,1,3_11_2,18,14,3/14/2022,3/18/2022
216,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-17 17:00:00,2022-03-17 21:00:00,2022-03-17 16:51:24,2022-03-17 21:27:55,,Complete Real Time,2022-03-17 17:00:00,2022-03-17 21:00:00,3,11,17,3,2022,17,240.0,276.51666666666665,-8.6,27.916666666666668,0.6086111111111109,16.0,36.51666666666665,17_John_Smith,1,0,2,1,3_11_2,18,14,3/14/2022,3/18/2022
218,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-18 17:00:00,2022-03-18 21:00:00,2022-03-18 16:51:08,2022-03-18 21:00:22,,Complete Real Time,2022-03-18 17:00:00,2022-03-18 21:00:00,4,11,18,3,2022,17,240.0,249.23333333333332,-8.866666666666667,0.36666666666666664,0.15388888888888866,16.0,9.23333333333332,17_John_Smith,1,0,2,1,3_11_2,18,14,3/14/2022,3/18/2022
224,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-21 17:00:00,2022-03-21 21:00:00,2022-03-21 17:00:00,2022-03-21 21:00:00,,Completed Manually,2022-03-21 17:00:00,2022-03-21 21:00:00,0,12,21,3,2022,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,3_12_2,25,21,3/21/2022,3/25/2022
226,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-22 17:00:00,2022-03-22 21:00:00,2022-03-22 16:59:56,2022-03-22 21:00:11,,Complete Real Time,2022-03-22 17:00:00,2022-03-22 21:00:00,1,12,22,3,2022,17,240.0,240.25,-0.06666666666666667,0.18333333333333332,0.004166666666666667,16.0,0.25,17_John_Smith,1,0,2,1,3_12_2,25,21,3/21/2022,3/25/2022
228,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-23 17:00:00,2022-03-23 21:00:00,2022-03-23 16:50:34,2022-03-23 21:09:35,,Complete Real Time,2022-03-23 17:00:00,2022-03-23 21:00:00,2,12,23,3,2022,17,240.0,259.01666666666665,-9.433333333333334,9.583333333333334,0.3169444444444442,16.0,19.01666666666665,17_John_Smith,1,0,2,1,3_12_2,25,21,3/21/2022,3/25/2022
230,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-24 17:00:00,2022-03-24 21:00:00,2022-03-24 16:51:29,2022-03-24 21:00:27,,Complete Real Time,2022-03-24 17:00:00,2022-03-24 21:00:00,3,12,24,3,2022,17,240.0,248.96666666666667,-8.516666666666667,0.45,0.14944444444444446,16.0,8.966666666666669,17_John_Smith,1,0,2,1,3_12_2,25,21,3/21/2022,3/25/2022
